Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,157
Base Time Seconds,1592562831
Base Time Fractional,.936646860
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.65742158781e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1000045835972,Volt DC,.1,T,2W,F,F,06/19/2020,10:33:51,.936646860
2,-5.761537080762e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1250046640635,Volt DC,.1,T,2W,F,F,06/19/2020,10:33:53,.151382300
3,-1.364870022558e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1500059217215,Volt DC,.1,T,2W,F,F,06/19/2020,10:33:54,.366102100
4,-7.270226087819e-15,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1750033050776,Volt DC,.1,T,2W,F,F,06/19/2020,10:33:55,.580801540
5,-1.406385424785e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2000079303980,Volt DC,.1,T,2W,F,F,06/19/2020,10:33:56,.795506520
6,-1.016414383215e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2250213176012,Volt DC,1,T,2W,F,F,06/19/2020,10:33:57,.699655500
7,3.482283905676e-14,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2500172853470,Volt DC,1,T,2W,F,F,06/19/2020,10:33:58,.914372840
8,4.68645955376e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2750121653080,Volt DC,1,T,2W,F,F,06/19/2020,10:34:00,.129074840
9,-9.573591919221e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3000106513500,Volt DC,1,T,2W,F,F,06/19/2020,10:34:01,.343776740
10,1.03228189885e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3250133097172,Volt DC,1,T,2W,F,F,06/19/2020,10:34:02,.558486180
11,1.398275592535e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3500115871429,Volt DC,1,T,2W,F,F,06/19/2020,10:34:03,.773192420
12,-2.609639934703e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3750088810921,Volt DC,1,T,2W,F,F,06/19/2020,10:34:04,.987896420
13,-3.895911371288e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4000014364719,Volt DC,1,T,2W,F,F,06/19/2020,10:34:06,.202599580
14,-1.110540479021e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4249981641769,Volt DC,1,T,2W,F,F,06/19/2020,10:34:07,.417314440
15,2.710281651885e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4500002264977,Volt DC,1,T,2W,F,F,06/19/2020,10:34:08,.632039220
16,1.162073909322e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4750014245510,Volt DC,1,T,2W,F,F,06/19/2020,10:34:09,.846734400
17,-4.40914665889e-14,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5000017881393,Volt DC,1,T,2W,F,F,06/19/2020,10:34:11,.061429420
18,-1.748998515461e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5249958634377,Volt DC,1,T,2W,F,F,06/19/2020,10:34:12,.276159040
19,-2.83121616429e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5499958395958,Volt DC,1,T,2W,F,F,06/19/2020,10:34:13,.490875920
20,-3.194876654899e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5749905109406,Volt DC,1,T,2W,F,F,06/19/2020,10:34:14,.705578620
21,-1.032176080717e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5999944210052,Volt DC,1,T,2W,F,F,06/19/2020,10:34:15,.920307700
22,-1.525647663758e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.6249896883965,Volt DC,1,T,2W,F,F,06/19/2020,10:34:17,.135022560
23,4.055245722556e-13,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.6499931216240,Volt DC,1,T,2W,F,F,06/19/2020,10:34:18,.349716400
24,2.767591711361e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.6750220656395,Volt DC,1,T,2W,F,F,06/19/2020,10:34:19,.564439520
25,1.509964028812e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.7000210881233,Volt DC,1,T,2W,F,F,06/19/2020,10:34:20,.779154480
26,3.224217767772e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.7250175476074,Volt DC,1,T,2W,F,F,06/19/2020,10:34:21,.993878500
27,2.206308052921e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.7500184774399,Volt DC,1,T,2W,F,F,06/19/2020,10:34:23,.208610860
28,2.663520445867e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.7750180363655,Volt DC,1,T,2W,F,F,06/19/2020,10:34:24,.423325300
