Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,281
Base Time Seconds,1592561723
Base Time Fractional,.747362640
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.050003746172e-07,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,21.6601104736328,Volt DC,100,T,2W,F,F,06/19/2020,10:15:23,.747362640
2,2.900804596528e-14,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.5243682861328,Volt DC,100,T,2W,F,F,06/19/2020,10:15:25,.817781880
3,1.960254528144e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.5511207580566,Volt DC,100,T,2W,F,F,06/19/2020,10:15:27,.032529720
4,1.478665453969e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.5744056701660,Volt DC,100,T,2W,F,F,06/19/2020,10:15:28,.247258340
5,2.335047433188e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.6012191772461,Volt DC,100,T,2W,F,F,06/19/2020,10:15:29,.462000580
6,1.686106115839e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.6243629455566,Volt DC,100,T,2W,F,F,06/19/2020,10:15:30,.676701040
7,1.576656166735e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.6510658264160,Volt DC,100,T,2W,F,F,06/19/2020,10:15:31,.891412580
8,1.651376778378e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.6745414733887,Volt DC,100,T,2W,F,F,06/19/2020,10:15:33,.106158060
9,1.885537039004e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.7013702392578,Volt DC,100,T,2W,F,F,06/19/2020,10:15:34,.320885340
10,1.887992713556e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.7238349914551,Volt DC,100,T,2W,F,F,06/19/2020,10:15:35,.535609860
11,2.075422646242e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.7504463195801,Volt DC,100,T,2W,F,F,06/19/2020,10:15:36,.750331360
12,-4.927679098099e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.7738494873047,Volt DC,100,T,2W,F,F,06/19/2020,10:15:37,.965077180
13,3.62177232649e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.8005409240723,Volt DC,100,T,2W,F,F,06/19/2020,10:15:39,.179809060
14,8.33220298313e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.8238029479980,Volt DC,100,T,2W,F,F,06/19/2020,10:15:40,.394528000
15,9.225275057756e-12,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.8504257202148,Volt DC,100,T,2W,F,F,06/19/2020,10:15:41,.609256260
16,1.188026066412e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.8771858215332,Volt DC,100,T,2W,F,F,06/19/2020,10:15:42,.823976360
17,4.397315150895e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.9007263183594,Volt DC,100,T,2W,F,F,06/19/2020,10:15:44,.038709120
18,1.930731789723e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.9273338317871,Volt DC,100,T,2W,F,F,06/19/2020,10:15:45,.253436900
19,3.294624989492e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.9504737854004,Volt DC,100,T,2W,F,F,06/19/2020,10:15:46,.468166240
20,1.152478286415e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,39.9772186279297,Volt DC,100,T,2W,F,F,06/19/2020,10:15:47,.682912080
21,2.904105775303e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.0004920959473,Volt DC,100,T,2W,F,F,06/19/2020,10:15:48,.897654720
22,1.679031740032e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.0273704528809,Volt DC,100,T,2W,F,F,06/19/2020,10:15:50,.112391800
23,1.394122144116e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.0505027770996,Volt DC,100,T,2W,F,F,06/19/2020,10:15:51,.327115300
24,1.918687951574e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.0772247314453,Volt DC,100,T,2W,F,F,06/19/2020,10:15:52,.541841420
25,1.423122036881e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.1006507873535,Volt DC,100,T,2W,F,F,06/19/2020,10:15:53,.756572460
26,1.468960023066e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.1275062561035,Volt DC,100,T,2W,F,F,06/19/2020,10:15:54,.971300020
27,1.465159590874e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.1506843566895,Volt DC,100,T,2W,F,F,06/19/2020,10:15:56,.186025120
28,1.383539723759e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.1773757934570,Volt DC,100,T,2W,F,F,06/19/2020,10:15:57,.400771160
29,1.447151946887e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.2007369995117,Volt DC,100,T,2W,F,F,06/19/2020,10:15:58,.615504660
30,1.671606429665e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.2274055480957,Volt DC,100,T,2W,F,F,06/19/2020,10:15:59,.830212620
31,1.394589912301e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.2507057189941,Volt DC,100,T,2W,F,F,06/19/2020,10:16:01,.044936200
32,1.53268907982e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.2772674560547,Volt DC,100,T,2W,F,F,06/19/2020,10:16:02,.259679980
33,1.772988353355e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.3008384704590,Volt DC,100,T,2W,F,F,06/19/2020,10:16:03,.474417840
34,1.628867180026e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.3275566101074,Volt DC,100,T,2W,F,F,06/19/2020,10:16:04,.689158760
35,1.484102771232e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.3509445190430,Volt DC,100,T,2W,F,F,06/19/2020,10:16:05,.903897440
36,1.258595744985e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.3772888183594,Volt DC,100,T,2W,F,F,06/19/2020,10:16:07,.118633280
37,1.450893745425e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.4006996154785,Volt DC,100,T,2W,F,F,06/19/2020,10:16:08,.333369460
38,1.602089294561e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.4273414611816,Volt DC,100,T,2W,F,F,06/19/2020,10:16:09,.548125140
39,1.427916205415e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.4506950378418,Volt DC,100,T,2W,F,F,06/19/2020,10:16:10,.762850580
40,1.512985570162e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.4772605895996,Volt DC,100,T,2W,F,F,06/19/2020,10:16:11,.977566640
41,1.455570906861e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.5007438659668,Volt DC,100,T,2W,F,F,06/19/2020,10:16:13,.192301480
42,1.533507522355e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.5274429321289,Volt DC,100,T,2W,F,F,06/19/2020,10:16:14,.407007280
43,1.42592847252e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.5507774353027,Volt DC,100,T,2W,F,F,06/19/2020,10:16:15,.621738840
44,1.684703071492e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.5767135620117,Volt DC,100,T,2W,F,F,06/19/2020,10:16:16,.836459680
45,1.338578553556e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.6001129150391,Volt DC,100,T,2W,F,F,06/19/2020,10:16:18,.051172880
46,1.416574149649e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.6266632080078,Volt DC,100,T,2W,F,F,06/19/2020,10:16:19,.265891780
47,1.596417963101e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.6500892639160,Volt DC,100,T,2W,F,F,06/19/2020,10:16:20,.480630760
48,1.647752073675e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.6767387390137,Volt DC,100,T,2W,F,F,06/19/2020,10:16:21,.695355360
49,1.475566717424e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.7001724243164,Volt DC,100,T,2W,F,F,06/19/2020,10:16:22,.910088560
50,1.526082211989e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.7268943786621,Volt DC,100,T,2W,F,F,06/19/2020,10:16:24,.124819180
51,1.291863577918e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.7501564025879,Volt DC,100,T,2W,F,F,06/19/2020,10:16:25,.339540380
52,1.343139141574e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.7770309448242,Volt DC,100,T,2W,F,F,06/19/2020,10:16:26,.554274460
53,1.713176475682e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.8000526428223,Volt DC,100,T,2W,F,F,06/19/2020,10:16:27,.768993820
54,1.249007407916e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.8267707824707,Volt DC,100,T,2W,F,F,06/19/2020,10:16:28,.983723380
55,1.430956568516e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.8500366210938,Volt DC,100,T,2W,F,F,06/19/2020,10:16:30,.198459020
56,1.369215418129e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.8768310546875,Volt DC,100,T,2W,F,F,06/19/2020,10:16:31,.413179340
57,1.41382617419e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.9001235961914,Volt DC,100,T,2W,F,F,06/19/2020,10:16:32,.627898880
58,1.428325686892e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.9269027709961,Volt DC,100,T,2W,F,F,06/19/2020,10:16:33,.842626520
59,1.432008851776e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.9501686096191,Volt DC,100,T,2W,F,F,06/19/2020,10:16:35,.057351180
60,1.38973719685e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,40.9769859313965,Volt DC,100,T,2W,F,F,06/19/2020,10:16:36,.272100580
61,1.323026584121e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.0004959106445,Volt DC,100,T,2W,F,F,06/19/2020,10:16:37,.486826460
62,1.616939915294e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.0270423889160,Volt DC,100,T,2W,F,F,06/19/2020,10:16:38,.701568140
63,1.278299428115e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.0503578186035,Volt DC,100,T,2W,F,F,06/19/2020,10:16:39,.916309900
64,1.343139141574e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.0770568847656,Volt DC,100,T,2W,F,F,06/19/2020,10:16:41,.131038760
65,1.267015225376e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.1005554199219,Volt DC,100,T,2W,F,F,06/19/2020,10:16:42,.345788920
66,1.356352703763e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.1271209716797,Volt DC,100,T,2W,F,F,06/19/2020,10:16:43,.560514240
67,1.224743570449e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.1504325866699,Volt DC,100,T,2W,F,F,06/19/2020,10:16:44,.775259560
68,1.133827406963e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.1770858764648,Volt DC,100,T,2W,F,F,06/19/2020,10:16:45,.990003040
69,1.361965575042e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.2005920410156,Volt DC,100,T,2W,F,F,06/19/2020,10:16:47,.204734680
70,1.221177325927e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.2269897460938,Volt DC,100,T,2W,F,F,06/19/2020,10:16:48,.419466700
71,1.411428612874e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.2502708435059,Volt DC,100,T,2W,F,F,06/19/2020,10:16:49,.634185600
72,1.357171146299e-11,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,41.2769699096680,Volt DC,100,T,2W,F,F,06/19/2020,10:16:50,.848909580
