Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1592301092
Base Time Fractional,.866084720
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.454921942923e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0002403259277,Volt DC,100,T,2W,F,F,06/16/2020,09:51:32,.866084720
2,1.124606852088e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0100593566895,Volt DC,100,T,2W,F,F,06/16/2020,09:51:34,.707381840
3,1.122142379018e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0198860168457,Volt DC,100,T,2W,F,F,06/16/2020,09:51:35,.922094000
4,1.131959748157e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0301437377930,Volt DC,100,T,2W,F,F,06/16/2020,09:51:37,.136811720
5,1.12784004358e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0399703979492,Volt DC,100,T,2W,F,F,06/16/2020,09:51:38,.351529600
6,1.123346970999e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0501480102539,Volt DC,100,T,2W,F,F,06/16/2020,09:51:39,.566255660
7,1.122680171051e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0599822998047,Volt DC,100,T,2W,F,F,06/16/2020,09:51:40,.780987520
8,1.120701531576e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0700569152832,Volt DC,100,T,2W,F,F,06/16/2020,09:51:41,.995704280
9,1.117952952434e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0799713134766,Volt DC,100,T,2W,F,F,06/16/2020,09:51:43,.210394080
10,1.117127945705e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0899429321289,Volt DC,100,T,2W,F,F,06/16/2020,09:51:44,.425118200
11,1.115677106256e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0999374389648,Volt DC,100,T,2W,F,F,06/16/2020,09:51:45,.639832500
12,1.115614933767e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1102027893066,Volt DC,100,T,2W,F,F,06/16/2020,09:51:46,.854549120
13,1.114244030376e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1199111938477,Volt DC,100,T,2W,F,F,06/16/2020,09:51:48,.069279660
14,1.113472425374e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1300430297852,Volt DC,100,T,2W,F,F,06/16/2020,09:51:49,.283990100
15,1.113545700093e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1400527954102,Volt DC,100,T,2W,F,F,06/16/2020,09:51:50,.498703540
16,1.112514524948e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1502151489258,Volt DC,100,T,2W,F,F,06/16/2020,09:51:51,.713408620
17,1.112895664512e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1603012084961,Volt DC,100,T,2W,F,F,06/16/2020,09:51:52,.928119080
18,1.112244518708e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1699867248535,Volt DC,100,T,2W,F,F,06/16/2020,09:51:54,.142839200
19,1.112570702233e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1798896789551,Volt DC,100,T,2W,F,F,06/16/2020,09:51:55,.357571260
20,1.112462788555e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1900749206543,Volt DC,100,T,2W,F,F,06/16/2020,09:51:56,.572297620
21,1.111442937685e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1998977661133,Volt DC,100,T,2W,F,F,06/16/2020,09:51:57,.787016540
22,1.110774250357e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.2100410461426,Volt DC,100,T,2W,F,F,06/16/2020,09:51:59,.001715780
23,1.111146619159e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.2199249267578,Volt DC,100,T,2W,F,F,06/16/2020,09:52:00,.216440320
