Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,191
Base Time Seconds,1592302222
Base Time Fractional,.385546160
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,9.578550175249e-10,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.0986685380340,Volt DC,100,T,2W,F,F,06/16/2020,10:10:22,.385546160
2,1.271048155616e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1086320206523,Volt DC,100,T,2W,F,F,06/16/2020,10:10:23,.750323900
3,1.655925063737e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1186656951904,Volt DC,100,T,2W,F,F,06/16/2020,10:10:25,.115078280
4,2.123938580567e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1286475360394,Volt DC,100,T,2W,F,F,06/16/2020,10:10:26,.479789120
5,2.743781202241e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1386708915234,Volt DC,100,T,2W,F,F,06/16/2020,10:10:27,.844525060
6,3.528617620319e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1486562490463,Volt DC,100,T,2W,F,F,06/16/2020,10:10:29,.209251740
7,4.517749729871e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1584988236427,Volt DC,100,T,2W,F,F,06/16/2020,10:10:30,.573991180
8,5.811115144638e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1685313880444,Volt DC,100,T,2W,F,F,06/16/2020,10:10:31,.938714340
9,7.470013052568e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1785592734814,Volt DC,100,T,2W,F,F,06/16/2020,10:10:33,.303453440
10,9.582820759135e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1885054260492,Volt DC,100,T,2W,F,F,06/16/2020,10:10:34,.668207760
11,1.23045698075e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.1984688639641,Volt DC,100,T,2W,F,F,06/16/2020,10:10:37,.838633720
12,1.573368813013e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2083113789558,Volt DC,100,T,2W,F,F,06/16/2020,10:10:39,.203382240
13,2.021266531926e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2182943522930,Volt DC,100,T,2W,F,F,06/16/2020,10:10:40,.568087140
14,2.590065584229e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2282127737999,Volt DC,100,T,2W,F,F,06/16/2020,10:10:41,.932809080
15,3.316328545111e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2380747050047,Volt DC,100,T,2W,F,F,06/16/2020,10:10:43,.297555860
16,4.234749440002e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2479207068682,Volt DC,100,T,2W,F,F,06/16/2020,10:10:44,.662300120
17,5.413034287471e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2577169835567,Volt DC,100,T,2W,F,F,06/16/2020,10:10:46,.027017340
18,6.85194407879e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2671643495560,Volt DC,100,T,2W,F,F,06/16/2020,10:10:47,.391785680
19,8.730589939887e-08,Amp DC,.0000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2768452763557,Volt DC,100,T,2W,F,F,06/16/2020,10:10:48,.756502060
20,1.185506945944e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2885625660419,Volt DC,100,T,2W,F,F,06/16/2020,10:10:51,.885402100
21,1.529134578959e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.2985512316227,Volt DC,100,T,2W,F,F,06/16/2020,10:10:52,.952894980
22,1.974283776462e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3084789514542,Volt DC,100,T,2W,F,F,06/16/2020,10:10:54,.020366700
23,2.541989658766e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3183053135872,Volt DC,100,T,2W,F,F,06/16/2020,10:10:55,.087856040
24,3.292898043128e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3281592130661,Volt DC,100,T,2W,F,F,06/16/2020,10:10:56,.155358580
25,4.274119760339e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3380337953568,Volt DC,100,T,2W,F,F,06/16/2020,10:10:57,.222851740
26,5.555770030696e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3478599786758,Volt DC,100,T,2W,F,F,06/16/2020,10:10:58,.290324440
27,7.238757575578e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3575489819050,Volt DC,100,T,2W,F,F,06/16/2020,10:10:59,.357823960
28,9.394502171745e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3669316470623,Volt DC,100,T,2W,F,F,06/16/2020,10:11:00,.425306740
29,1.316220050285e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3784327507019,Volt DC,100,T,2W,F,F,06/16/2020,10:11:03,.248462620
30,1.758518578754e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3883765637875,Volt DC,100,T,2W,F,F,06/16/2020,10:11:04,.301239660
31,2.359923655604e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.3982926309109,Volt DC,100,T,2W,F,F,06/16/2020,10:11:05,.353995080
32,3.180395196978e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4081557095051,Volt DC,100,T,2W,F,F,06/16/2020,10:11:06,.406777960
33,4.319793788454e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4180221855640,Volt DC,100,T,2W,F,F,06/16/2020,10:11:07,.459552420
34,5.846963176737e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4276767075062,Volt DC,100,T,2W,F,F,06/16/2020,10:11:08,.512326980
35,7.959199137986e-06,Amp DC,.00001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4373286366463,Volt DC,100,T,2W,F,F,06/16/2020,10:11:09,.565087800
36,1.162869284599e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4485728740692,Volt DC,100,T,2W,F,F,06/16/2020,10:11:12,.368819320
37,1.616854569875e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4585869908333,Volt DC,100,T,2W,F,F,06/16/2020,10:11:13,.421611220
38,2.246278563689e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4684317111969,Volt DC,100,T,2W,F,F,06/16/2020,10:11:14,.474358520
39,3.032752101717e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4774461090565,Volt DC,100,T,2W,F,F,06/16/2020,10:11:15,.527126620
40,4.194194480078e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4872733354568,Volt DC,100,T,2W,F,F,06/16/2020,10:11:16,.579898860
41,5.771699579782e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.4969736933708,Volt DC,100,T,2W,F,F,06/16/2020,10:11:17,.632668320
42,7.838052260922e-05,Amp DC,.0001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5065137743950,Volt DC,100,T,2W,F,F,06/16/2020,10:11:18,.685422760
43,0.0001133121040766,Amp DC,.001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5179050564766,Volt DC,100,T,2W,F,F,06/16/2020,10:11:21,.485117860
44,0.0001524671097286,Amp DC,.001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5277426838875,Volt DC,100,T,2W,F,F,06/16/2020,10:11:22,.537896920
45,0.0002023946726695,Amp DC,.001,6.5,F,F,F,F,F,F,Rear,F,Main,0.5376965999603,Volt DC,100,T,2W,F,F,06/16/2020,10:11:23,.590668900
