Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,401
Base Time Seconds,1592300086
Base Time Fractional,.740164240
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.455023266317e-07,Amp DC,.000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0002517700195,Volt DC,100,T,2W,F,F,06/16/2020,09:34:46,.740164240
2,1.123791171231e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0100479125977,Volt DC,100,T,2W,F,F,06/16/2020,09:34:48,.581449160
3,1.121980397478e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0199851989746,Volt DC,100,T,2W,F,F,06/16/2020,09:34:49,.796196040
4,1.130195381727e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0302352905273,Volt DC,100,T,2W,F,F,06/16/2020,09:34:51,.010935640
5,1.127369642084e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0400428771973,Volt DC,100,T,2W,F,F,06/16/2020,09:34:52,.225652540
6,1.12226017368e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0502319335938,Volt DC,100,T,2W,F,F,06/16/2020,09:34:53,.440366740
7,1.122401283027e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0600242614746,Volt DC,100,T,2W,F,F,06/16/2020,09:34:54,.655109780
8,1.119889625478e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0701408386230,Volt DC,100,T,2W,F,F,06/16/2020,09:34:55,.869835260
9,1.117589465416e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0799751281738,Volt DC,100,T,2W,F,F,06/16/2020,09:34:57,.084552560
10,1.11632680877e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0900459289551,Volt DC,100,T,2W,F,F,06/16/2020,09:34:58,.299251740
11,1.115233461135e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.0999755859375,Volt DC,100,T,2W,F,F,06/16/2020,09:34:59,.513967400
12,1.114431880112e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1102447509766,Volt DC,100,T,2W,F,F,06/16/2020,09:35:00,.728680020
13,1.114377257139e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1199989318848,Volt DC,100,T,2W,F,F,06/16/2020,09:35:01,.943384040
14,1.113386494112e-09,Amp DC,.00000001,6.5,F,F,F,F,F,F,Rear,F,Main,50.1301155090332,Volt DC,100,T,2W,F,F,06/16/2020,09:35:03,.158086800
